"imdb_id" "name" "gross" "date" "theater" "time" "num_of_shows" "ticket_price" "num_of_attendees" "day" "avg_attendence"
"2567" "tt2281587" "MUPPETS MOST WANTED" 446 2014-05-24 2 "17:45" 1 8 56 "Saturday" 56
"2568" "tt2281587" "MUPPETS MOST WANTED" 294 2014-05-25 2 "14:30" 1 8 37 "Sunday" 37
"2569" "tt2281587" "MUPPETS MOST WANTED" 220 2014-05-26 1 "12:30" 1 8 28 "Monday" 28
"2570" "tt2281587" "MUPPETS MOST WANTED" 134 2014-05-31 1 "14:25" 1 8 17 "Saturday" 17
"2571" "tt2281587" "MUPPETS MOST WANTED" 84 2014-06-01 1 "15:45" 1 8 10 "Sunday" 10
"2572" "tt2281587" "MUPPETS MOST WANTED" 272 2014-06-04 2 "18:30" 1 8 34 "Wednesday" 34
"2573" "tt2287170" "MAN FROM RENO" 496 2015-04-17 2 "21:10" 1 8 62 "Friday" 62
"2574" "tt2287170" "MAN FROM RENO" 534 2015-04-18 1 "18:20" 1 8 67 "Saturday" 67
"2575" "tt2287170" "MAN FROM RENO" 151 2015-04-21 1 "18:30" 1 8 19 "Tuesday" 19
"2576" "tt2287170" "MAN FROM RENO" 64 2015-04-25 1 "14:15" 1 8 8 "Saturday" 8
"2577" "tt2287170" "MAN FROM RENO" 152 2015-04-26 2 "18:00" 1 8 19 "Sunday" 19
"2578" "tt2287170" "MAN FROM RENO" 104 2015-04-28 1 "20:50" 1 8 13 "Tuesday" 13
"2579" "tt2287170" "MAN FROM RENO - MUST END TONIGHT!" 347 2015-04-29 2 "20:40" 1 8 43 "Wednesday" 43
"2580" "tt2293640" "MINIONS" 208 2015-08-21 2 "16:30" 1 8 26 "Friday" 26
"2581" "tt2293640" "MINIONS" 328 2015-08-22 2 "12:30" 1 8 41 "Saturday" 41
"2582" "tt2293640" "MINIONS" 312 2015-08-23 2 "15:00" 1 8 39 "Sunday" 39
"2583" "tt2293640" "MINIONS" 96 2015-08-24 2 "16:15" 1 8 12 "Monday" 12
"2584" "tt2293640" "MINIONS" 160 2015-08-25 2 "16:30" 1 8 20 "Tuesday" 20
"2585" "tt2293640" "MINIONS" 152 2015-08-26 2 "16:15" 1 8 19 "Wednesday" 19
"2586" "tt2293640" "MINIONS" 96 2015-08-27 2 "16:00" 1 8 12 "Thursday" 12
"2587" "tt2293640" "MINIONS" 160 2015-08-28 1 "16:00" 1 8 20 "Friday" 20
"2588" "tt2293640" "MINIONS" 360 2015-08-29 2 "12:40" 1 8 45 "Saturday" 45
"2589" "tt2293640" "MINIONS" 462 2015-08-30 1 "13:00" 1 8 58 "Sunday" 58
"2590" "tt2293640" "MINIONS" 224 2015-09-05 2 "12:50" 1 8 28 "Saturday" 28
"2591" "tt2293640" "MINIONS" 160 2015-09-06 1 "12:15" 1 8 20 "Sunday" 20
"2592" "tt2293640" "MINIONS" 544 2015-09-07 2 "14:30" 1 8 68 "Monday" 68
"2593" "tt2293640" "MINIONS" 113 2015-09-11 1 "16:30" 1 8 14 "Friday" 14
"2594" "tt2293640" "MINIONS" 392 2015-09-12 1 "14:35" 1 8 49 "Saturday" 49
"2595" "tt2293640" "MINIONS" 162 2015-09-13 1 "12:15" 1 8 20 "Sunday" 20
"2596" "tt2293640" "MINIONS" 36 2015-09-18 2 "16:00" 1 8 4 "Friday" 4
"2597" "tt2293640" "MINIONS" 160 2015-09-19 2 "12:45" 1 8 20 "Saturday" 20
"2598" "tt2293640" "MINIONS" 476 2015-09-20 2 "14:55" 1 8 60 "Sunday" 60
"2599" "tt2293640" "MINIONS" 72 2015-09-26 1 "12:15" 1 8 9 "Saturday" 9
"2600" "tt2293640" "MINIONS, a benefit for Easter Seals" 1000 2016-03-06 1 "12:30" 1 8 125 "Sunday" 125
"2601" "tt2294629" "FROZEN" 192 2014-03-21 2 "16:00" 1 8 24 "Friday" 24
"2602" "tt2294629" "FROZEN (Baby Brigade)" 469 2014-03-22 1 "13:00" 1 8 59 "Saturday" 59
"2603" "tt2294629" "FROZEN" 92 2014-03-24 2 "21:30" 1 8 12 "Monday" 12
"2604" "tt2294629" "FROZEN" 190 2014-03-25 1 "18:30" 1 8 24 "Tuesday" 24
"2605" "tt2294629" "FROZEN" 296 2014-03-26 1 "18:30" 1 8 37 "Wednesday" 37
"2606" "tt2294629" "FROZEN" 134 2014-03-28 2 "16:00" 1 8 17 "Friday" 17
"2607" "tt2294629" "FROZEN" 1548 2014-03-29 2 "17:10" 2 8 194 "Saturday" 97
"2608" "tt2294629" "FROZEN" 80 2014-04-01 1 "18:30" 1 8 10 "Tuesday" 10
"2609" "tt2294629" "FROZEN" 190 2014-04-04 2 "16:00" 1 8 24 "Friday" 24
"2610" "tt2294629" "FROZEN" 498 2014-04-05 2 "16:45" 2 8 62 "Saturday" 31
"2611" "tt2294629" "FROZEN" 248 2014-04-06 1 "12:30" 1 8 31 "Sunday" 31
"2612" "tt2294629" "FROZEN" 434 2014-04-09 1 "18:30" 1 8 54 "Wednesday" 54
"2613" "tt2294629" "FROZEN" 188 2014-04-13 1 "13:00" 1 8 24 "Sunday" 24
"2614" "tt2294629" "FROZEN" 62 2014-04-15 1 "18:30" 1 8 8 "Tuesday" 8
"2615" "tt2294629" "FROZEN" 96 2014-04-19 2 "14:40" 1 8 12 "Saturday" 12
"2616" "tt2294629" "FROZEN" 103 2014-04-20 2 "13:00" 1 8 13 "Sunday" 13
"2617" "tt2294629" "FROZEN (Party at the Parkway) (Must End Tonight!)" 266 2014-04-27 2 "16:00" 1 8 33 "Sunday" 33
"2618" "tt2294677" "IN A WORLD..." 88 2013-11-01 1 "22:20" 1 8 11 "Friday" 11
"2619" "tt2294677" "IN A WORLD..." 264 2013-11-02 1 "17:30" 1 8 33 "Saturday" 33
"2620" "tt2294677" "IN A WORLD..." 332 2013-11-03 2 "19:15" 1 8 42 "Sunday" 42
"2621" "tt2294677" "IN A WORLD... (Baby Brigade)" 224 2013-11-04 1 "18:30" 1 8 28 "Monday" 28
"2622" "tt2294677" "IN A WORLD..." 126 2013-11-05 2 "21:15" 1 8 16 "Tuesday" 16
"2623" "tt2294677" "IN A WORLD..." 800 2013-11-09 2 "20:25" 1 8 100 "Saturday" 100
"2624" "tt2294677" "IN A WORLD..." 480 2013-11-10 2 "19:30" 1 8 60 "Sunday" 60
"2625" "tt2294677" "IN A WORLD..." 251 2013-11-11 2 "21:15" 1 8 31 "Monday" 31
"2626" "tt2294677" "IN A WORLD..." 245 2013-11-14 1 "19:00" 1 8 31 "Thursday" 31
"2627" "tt2294677" "IN A WORLD..." 308 2013-11-15 1 "18:15" 1 8 38 "Friday" 38
"2628" "tt2294677" "IN A WORLD..." 214 2013-11-17 1 "15:30" 1 8 27 "Sunday" 27
"2629" "tt2294677" "IN A WORLD..." 101 2013-11-18 1 "20:45" 1 8 13 "Monday" 13
"2630" "tt2294677" "IN A WORLD..." 362 2013-11-22 1 "19:30" 1 8 45 "Friday" 45
"2631" "tt2294677" "IN A WORLD..." 176 2013-11-24 1 "12:30" 1 8 22 "Sunday" 22
"2632" "tt2294677" "IN A WORLD..." 118 2013-11-25 2 "16:30" 1 8 15 "Monday" 15
"2633" "tt2294677" "IN A WORLD..." 128 2013-11-29 2 "14:40" 1 8 16 "Friday" 16
"2634" "tt2294677" "IN A WORLD..." 160 2013-11-30 2 "17:45" 1 8 20 "Saturday" 20
"2635" "tt2294677" "IN A WORLD..." 125 2013-12-03 1 "21:10" 1 8 16 "Tuesday" 16
"2636" "tt2301592" "THE DANCE OF REALITY" 324 2014-06-20 1 "19:45" 1 8 40 "Friday" 40
"2637" "tt2301592" "THE DANCE OF REALITY" 264 2014-06-21 1 "17:30" 1 8 33 "Saturday" 33
"2638" "tt2301592" "THE DANCE OF REALITY" 672 2014-06-22 1 "20:10" 1 8 84 "Sunday" 84
"2639" "tt2301592" "THE DANCE OF REALITY" 213 2014-06-23 1 "20:45" 1 8 27 "Monday" 27
"2640" "tt2301592" "THE DANCE OF REALITY" 630 2014-06-25 2 "20:55" 1 8 79 "Wednesday" 79
"2641" "tt2301592" "THE DANCE OF REALITY" 344 2014-06-26 1 "21:10" 1 8 43 "Thursday" 43
"2642" "tt2301592" "THE DANCE OF REALITY" 440 2014-06-28 2 "20:10" 1 8 55 "Saturday" 55
"2643" "tt2301592" "THE DANCE OF REALITY" 360 2014-06-29 2 "20:40" 1 8 45 "Sunday" 45
"2644" "tt2301592" "THE DANCE OF REALITY" 420 2014-07-01 1 "20:50" 1 8 52 "Tuesday" 52
"2645" "tt2301592" "THE DANCE OF REALITY" 200 2014-07-03 1 "18:30" 1 8 25 "Thursday" 25
"2646" "tt2301592" "THE DANCE OF REALITY" 672 2014-07-05 2 "21:25" 1 8 84 "Saturday" 84
"2647" "tt2301592" "THE DANCE OF REALITY" 396 2014-07-06 2 "20:00" 1 8 50 "Sunday" 50
"2648" "tt2301592" "THE DANCE OF REALITY" 220 2014-07-07 2 "20:50" 1 8 28 "Monday" 28
"2649" "tt2301592" "THE DANCE OF REALITY" 212 2014-07-10 2 "18:30" 1 8 26 "Thursday" 26
"2650" "tt2301592" "THE DANCE OF REALITY" 442 2014-07-11 1 "21:15" 1 8 55 "Friday" 55
"2651" "tt2301592" "THE DANCE OF REALITY" 376 2014-07-12 1 "21:30" 1 8 47 "Saturday" 47
"2652" "tt2301592" "THE DANCE OF REALITY" 171 2014-07-13 1 "21:25" 1 8 21 "Sunday" 21
"2653" "tt2301592" "THE DANCE OF REALITY" 476 2014-07-16 2 "20:50" 1 8 60 "Wednesday" 60
"2654" "tt2301592" "THE DANCE OF REALITY" 256 2014-07-17 1 "21:30" 1 8 32 "Thursday" 32
"2655" "tt2301592" "THE DANCE OF REALITY" 292 2014-07-19 1 "21:55" 1 8 36 "Saturday" 36
"2656" "tt2301592" "THE DANCE OF REALITY" 275 2014-07-20 1 "20:15" 1 8 34 "Sunday" 34
"2657" "tt2301592" "THE DANCE OF REALITY" 228 2014-07-22 1 "18:30" 1 8 28 "Tuesday" 28
"2658" "tt2304771" "MANDELA: LONG WALK TO FREEDOM" 204 2014-01-10 2 "18:00" 1 8 26 "Friday" 26
"2659" "tt2304771" "MANDELA: LONG WALK TO FREEDOM" 340 2014-01-11 2 "17:30" 1 8 42 "Saturday" 42
"2660" "tt2304771" "MANDELA: LONG WALK TO FREEDOM" 388 2014-01-12 2 "17:15" 1 8 48 "Sunday" 48
"2661" "tt2304771" "MANDELA: LONG WALK TO FREEDOM" 220 2014-01-14 1 "18:30" 1 8 28 "Tuesday" 28
"2662" "tt2304771" "MANDELA: LONG WALK TO FREEDOM" 144 2014-01-18 1 "14:30" 1 8 18 "Saturday" 18
"2663" "tt2304771" "MANDELA: LONG WALK TO FREEDOM" 240 2014-01-20 1 "16:00" 1 8 30 "Monday" 30
"2664" "tt2305051" "WILD" 861 2015-02-21 2 "19:20" 1 8 108 "Saturday" 108
"2665" "tt2305051" "WILD (Baby Brigade)" 178 2015-02-23 2 "18:30" 1 8 22 "Monday" 22
"2666" "tt2305051" "WILD" 302 2015-02-26 2 "18:45" 1 8 38 "Thursday" 38
"2667" "tt2305051" "WILD" 744 2015-02-27 1 "19:10" 1 8 93 "Friday" 93
"2668" "tt2305051" "WILD" 630 2015-02-28 1 "17:30" 1 8 79 "Saturday" 79
"2669" "tt2305051" "WILD" 202 2015-03-01 1 "15:25" 1 8 25 "Sunday" 25
"2670" "tt2305051" "WILD" 96 2015-03-03 1 "21:30" 1 8 12 "Tuesday" 12
"2671" "tt2305051" "WILD" 417 2015-03-04 1 "19:00" 1 8 52 "Wednesday" 52
"2672" "tt2305051" "WILD" 280 2015-03-06 2 "18:30" 1 8 35 "Friday" 35
"2673" "tt2305051" "WILD (Baby Brigade)" 168 2015-03-07 1 "13:00" 1 8 21 "Saturday" 21
"2674" "tt2305051" "WILD" 391 2015-03-08 1 "18:00" 1 8 49 "Sunday" 49
"2675" "tt2305051" "WILD" 274 2015-03-19 1 "18:30" 1 8 34 "Thursday" 34
"2676" "tt2305051" "WILD" 377 2015-03-20 2 "18:45" 1 8 47 "Friday" 47
"2677" "tt2305051" "WILD--MUST END TONIGHT!!" 163 2015-03-23 1 "21:00" 1 8 20 "Monday" 20
"2678" "tt2310332" "THE HOBBIT: THE BATTLE OF THE FIVE ARMIES" 477 2015-02-07 1 "15:35" 1 8 60 "Saturday" 60
"2679" "tt2310332" "THE HOBBIT: THE BATTLE OF THE FIVE ARMIES" 492 2015-02-08 2 "17:40" 1 8 62 "Sunday" 62
"2680" "tt2310332" "THE HOBBIT: THE BATTLE OF THE FIVE ARMIES" 422 2015-02-11 2 "18:15" 1 8 53 "Wednesday" 53
"2681" "tt2310332" "THE HOBBIT: THE BATTLE OF THE FIVE ARMIES" 67 2015-02-12 1 "21:15" 1 8 8 "Thursday" 8
"2682" "tt2310332" "THE HOBBIT: BATTLE OF THE FIVE ARMIES" 256 2015-02-14 2 "13:00" 1 8 32 "Saturday" 32
"2683" "tt2310332" "THE HOBBIT: BATTLE OF THE FIVE ARMIES" 242 2015-02-15 1 "15:25" 1 8 30 "Sunday" 30
"2684" "tt2310332" "THE HOBBIT: BATTLE OF THE FIVE ARMIES" 272 2015-02-16 1 "12:55" 1 8 34 "Monday" 34
"2685" "tt2316411" "ENEMY" 376 2014-04-19 2 "19:40" 1 8 47 "Saturday" 47
"2686" "tt2316411" "ENEMY" 290 2014-04-23 2 "21:30" 1 8 36 "Wednesday" 36
"2687" "tt2316411" "ENEMY" 464 2014-04-26 1 "21:40" 1 8 58 "Saturday" 58
"2688" "tt2316411" "ENEMY" 170 2014-04-27 1 "21:00" 1 8 21 "Sunday" 21
"2689" "tt2316411" "ENEMY" 248 2014-05-04 1 "20:30" 1 8 31 "Sunday" 31
"2690" "tt2316411" "ENEMY (Baby Brigade)" 103 2014-05-05 1 "18:30" 1 8 13 "Monday" 13
"2691" "tt2316411" "ENEMY" 171 2014-05-06 2 "21:30" 1 8 21 "Tuesday" 21
"2692" "tt2316411" "ENEMY (MUST END TONIGHT)" 136 2014-05-08 1 "21:30" 1 8 17 "Thursday" 17
"2693" "tt2321549" "THE BABADOOK" 546 2014-12-20 1 "21:30" 1 8 68 "Saturday" 68
"2694" "tt2321549" "THE BABADOOK" 268 2014-12-21 1 "21:15" 1 8 34 "Sunday" 34
"2695" "tt2321549" "THE BABADOOK" 218 2014-12-23 2 "21:10" 1 8 27 "Tuesday" 27
"2696" "tt2321549" "THE BABADOOK" 592 2014-12-27 2 "21:30" 1 8 74 "Saturday" 74
"2697" "tt2321549" "THE BABADOOK" 449 2014-12-28 2 "21:00" 1 8 56 "Sunday" 56
"2698" "tt2321549" "THE BABADOOK" 788 2015-01-01 2 "21:00" 1 8 98 "Thursday" 98
"2699" "tt2321549" "THE BABADOOK" 916 2015-01-03 2 "21:15" 1 8 114 "Saturday" 114
"2700" "tt2321549" "THE BABADOOK" 620 2015-01-04 2 "21:00" 1 8 78 "Sunday" 78
"2701" "tt2321549" "THE BABADOOK" 775 2015-01-10 1 "21:15" 1 8 97 "Saturday" 97
"2702" "tt2321549" "THE BABADOOK" 392 2015-01-11 2 "21:10" 1 8 49 "Sunday" 49
"2703" "tt2321549" "THE BABADOOK" 128 2015-01-12 1 "21:30" 1 8 16 "Monday" 16
"2704" "tt2321549" "THE BABADOOK" 452 2015-01-14 2 "21:30" 1 8 56 "Wednesday" 56
"2705" "tt2321549" "THE BABADOOK" 296 2015-01-15 1 "21:30" 1 8 37 "Thursday" 37
"2706" "tt2321549" "THE BABADOOK" 730 2015-01-17 1 "21:30" 1 8 91 "Saturday" 91
"2707" "tt2321549" "THE BABADOOK" 278 2015-01-18 2 "21:30" 1 8 35 "Sunday" 35
"2708" "tt2321549" "THE BABADOOK" 266 2015-01-21 2 "21:30" 1 8 33 "Wednesday" 33
"2709" "tt2321549" "THE BABADOOK" 197 2015-01-22 1 "21:30" 1 8 25 "Thursday" 25
"2710" "tt2321549" "THE BABADOOK" 254 2015-01-25 2 "21:30" 1 8 32 "Sunday" 32
"2711" "tt2321549" "THE BABADOOK" 188 2015-01-28 2 "21:30" 1 8 24 "Wednesday" 24
"2712" "tt2321549" "THE BABADOOK" 294 2015-01-31 1 "21:40" 1 8 37 "Saturday" 37
"2713" "tt2321549" "THE BABADOOK--MUST END TONIGHT!!" 562 2015-02-04 1 "21:10" 1 8 70 "Wednesday" 70
"2714" "tt2322482" "IF YOU BUILD IT (<a target=”_blank” href=http://brownpapertickets.com/event/639323>Purchase Tickets Online</a>)" 80 2014-04-11 2 "18:20" 1 8 10 "Friday" 10
"2715" "tt2322482" "IF YOU BUILD IT (<a target=”_blank” href=http://brownpapertickets.com/event/634725>Purchase Tickets Online</a>)" 50 2014-04-14 1 "19:00" 1 8 6 "Monday" 6
"2716" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 852 2015-01-17 2 "21:00" 1 8 106 "Saturday" 106
"2717" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 576 2015-01-19 1 "20:45" 1 8 72 "Monday" 72
"2718" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 437 2015-01-20 2 "21:30" 1 8 55 "Tuesday" 55
"2719" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 619 2015-01-23 1 "21:15" 1 8 77 "Friday" 77
"2720" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 550 2015-01-24 1 "21:40" 1 8 69 "Saturday" 69
"2721" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 368 2015-01-25 1 "16:10" 1 8 46 "Sunday" 46
"2722" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 433 2015-01-26 2 "21:00" 1 8 54 "Monday" 54
"2723" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 400 2015-01-27 2 "21:30" 1 8 50 "Tuesday" 50
"2724" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 288 2015-01-29 2 "21:30" 1 8 36 "Thursday" 36
"2725" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 526 2015-01-30 1 "21:40" 1 8 66 "Friday" 66
"2726" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 502 2015-01-31 1 "19:15" 1 8 63 "Saturday" 63
"2727" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 308 2015-02-01 1 "20:30" 1 8 38 "Sunday" 38
"2728" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 402 2015-02-03 2 "21:30" 1 8 50 "Tuesday" 50
"2729" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 444 2015-02-05 1 "18:30" 1 8 56 "Thursday" 56
"2730" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 828 2015-02-06 1 "20:20" 1 8 104 "Friday" 104
"2731" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT (Baby Brigade)" 228 2015-02-09 1 "18:30" 1 8 28 "Monday" 28
"2732" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 328 2015-02-10 1 "21:30" 1 8 41 "Tuesday" 41
"2733" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 686 2015-02-11 2 "21:15" 1 8 86 "Wednesday" 86
"2734" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 465 2015-02-13 1 "20:15" 1 8 58 "Friday" 58
"2735" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 452 2015-02-14 1 "21:55" 1 8 56 "Saturday" 56
"2736" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 474 2015-02-15 1 "21:10" 1 8 59 "Sunday" 59
"2737" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 232 2015-02-16 1 "16:00" 1 8 29 "Monday" 29
"2738" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 272 2015-02-17 2 "21:30" 1 8 34 "Tuesday" 34
"2739" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 582 2015-02-18 1 "21:15" 1 8 73 "Wednesday" 73
"2740" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 457 2015-02-20 1 "20:15" 1 8 57 "Friday" 57
"2741" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 296 2015-02-21 2 "21:55" 1 8 37 "Saturday" 37
"2742" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 248 2015-02-22 1 "21:20" 1 8 31 "Sunday" 31
"2743" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 276 2015-02-24 2 "21:30" 1 8 34 "Tuesday" 34
"2744" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 460 2015-02-27 2 "20:15" 1 8 58 "Friday" 58
"2745" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 694 2015-02-28 2 "21:30" 1 8 87 "Saturday" 87
"2746" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 352 2015-03-05 1 "21:30" 1 8 44 "Thursday" 44
"2747" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 426 2015-03-06 1 "20:15" 1 8 53 "Friday" 53
"2748" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 152 2015-03-07 2 "14:25" 1 8 19 "Saturday" 19
"2749" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 174 2015-03-09 1 "21:30" 1 8 22 "Monday" 22
"2750" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 149 2015-03-10 1 "21:30" 1 8 19 "Tuesday" 19
"2751" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 411 2015-03-16 2 "18:50" 1 8 51 "Monday" 51
"2752" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 566 2015-03-21 2 "21:40" 1 8 71 "Saturday" 71
"2753" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 321 2015-03-22 2 "21:30" 1 8 40 "Sunday" 40
"2754" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 572 2015-03-25 2 "21:30" 1 8 72 "Wednesday" 72
"2755" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 289 2015-03-28 1 "21:40" 1 8 36 "Saturday" 36
"2756" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 348 2015-03-29 2 "20:40" 1 8 44 "Sunday" 44
"2757" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 128 2015-03-31 2 "21:30" 1 8 16 "Tuesday" 16
"2758" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 256 2015-04-01 2 "18:30" 1 8 32 "Wednesday" 32
"2759" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 171 2015-04-02 2 "18:30" 1 8 21 "Thursday" 21
"2760" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 462 2015-04-04 1 "14:25" 1 8 58 "Saturday" 58
"2761" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 469 2015-04-05 2 "19:40" 1 8 59 "Sunday" 59
"2762" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 361 2015-04-07 1 "20:45" 1 8 45 "Tuesday" 45
"2763" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT (Baby Brigade)" 104 2015-04-11 1 "12:50" 1 8 13 "Saturday" 13
"2764" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 394 2015-04-12 2 "19:40" 1 8 49 "Sunday" 49
"2765" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 77 2015-04-13 1 "21:00" 1 8 10 "Monday" 10
"2766" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 206 2015-04-14 2 "21:30" 1 8 26 "Tuesday" 26
"2767" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 224 2015-04-17 2 "18:45" 1 8 28 "Friday" 28
"2768" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 409 2015-04-18 2 "19:20" 1 8 51 "Saturday" 51
"2769" "tt2326554" "A GIRL WALKS HOME ALONE AT NIGHT" 379 2015-04-19 2 "19:40" 1 8 47 "Sunday" 47
"2770" "tt2332579" "CRYSTAL FAIRY AND THE MAGICAL CACTUS" 211 2013-08-04 1 "20:45" 1 8 26 "Sunday" 26
"2771" "tt2332579" "CRYSTAL FAIRY AND THE MAGICAL CACTUS" 282 2013-08-08 1 "21:45" 1 8 35 "Thursday" 35
"2772" "tt2332579" "CRYSTAL FAIRY AND THE MAGICAL CACTUS" 384 2013-08-18 1 "20:30" 1 8 48 "Sunday" 48
"2773" "tt2332579" "CRYSTAL FAIRY AND THE MAGICAL CACTUS" 258 2013-08-20 1 "21:10" 1 8 32 "Tuesday" 32
"2774" "tt2332579" "CRYSTAL FAIRY AND THE MAGICAL CACTUS" 120 2013-08-21 1 "21:35" 1 8 15 "Wednesday" 15
"2775" "tt2332579" "CRYSTAL FAIRY AND THE MAGICAL CACTUS" 210 2013-08-22 1 "21:40" 1 8 26 "Thursday" 26
"2776" "tt2334649" "FRUITVALE STATION" 480 2013-10-04 2 "21:45" 1 8 60 "Friday" 60
"2777" "tt2334649" "FRUITVALE STATION" 500 2013-10-05 2 "19:40" 1 8 62 "Saturday" 62
"2778" "tt2334649" "FRUITVALE STATION" 240 2013-10-06 2 "18:45" 1 8 30 "Sunday" 30
"2779" "tt2334649" "FRUITVALE STATION" 80 2013-10-07 1 "21:30" 1 8 10 "Monday" 10
"2780" "tt2334649" "FRUITVALE STATION" 270 2013-10-08 2 "21:00" 1 8 34 "Tuesday" 34
"2781" "tt2334649" "FRUITVALE STATION" 428 2013-10-09 1 "19:00" 1 8 54 "Wednesday" 54
"2782" "tt2334649" "FRUITVALE STATION" 102 2013-10-12 2 "13:00" 1 8 13 "Saturday" 13
"2783" "tt2334649" "FRUITVALE STATION" 424 2013-10-13 2 "13:00" 2 8 53 "Sunday" 26
"2784" "tt2334649" "FRUITVALE STATION" 236 2013-10-16 1 "20:50" 1 8 30 "Wednesday" 30
"2785" "tt2334873" "BLUE JASMINE" 250 2013-11-01 2 "21:30" 1 8 31 "Friday" 31
"2786" "tt2334873" "BLUE JASMINE" 804 2013-11-02 1 "20:00" 1 8 100 "Saturday" 100
"2787" "tt2334873" "BLUE JASMINE" 496 2013-11-03 2 "17:00" 1 8 62 "Sunday" 62
"2788" "tt2334873" "BLUE JASMINE (Baby Brigade)" 120 2013-11-04 2 "16:30" 1 8 15 "Monday" 15
"2789" "tt2334873" "BLUE JASMINE" 158 2013-11-05 1 "18:30" 1 8 20 "Tuesday" 20
"2790" "tt2334873" "BLUE JASMINE" 306 2013-11-06 1 "20:50" 1 8 38 "Wednesday" 38
"2791" "tt2334873" "BLUE JASMINE" 412 2013-11-08 1 "19:00" 1 8 52 "Friday" 52
"2792" "tt2334873" "BLUE JASMINE" 546 2013-11-09 1 "17:00" 1 8 68 "Saturday" 68
"2793" "tt2334873" "BLUE JASMINE" 462 2013-11-10 2 "17:10" 1 8 58 "Sunday" 58
"2794" "tt2334873" "BLUE JASMINE (Baby Brigade)" 247 2013-11-11 1 "18:30" 1 8 31 "Monday" 31
"2795" "tt2334873" "BLUE JASMINE" 424 2013-11-13 1 "19:00" 1 8 53 "Wednesday" 53
"2796" "tt2334873" "BLUE JASMINE" 540 2013-11-16 1 "17:20" 1 8 68 "Saturday" 68
"2797" "tt2334873" "BLUE JASMINE" 84 2013-11-17 1 "13:00" 1 8 10 "Sunday" 10
"2798" "tt2334873" "BLUE JASMINE" 156 2013-11-19 1 "21:10" 1 8 20 "Tuesday" 20
"2799" "tt2334873" "BLUE JASMINE" 308 2013-11-20 1 "18:30" 1 8 38 "Wednesday" 38
